"CustomerID","Test_Group","Outcome","State_Available","Email_Available"
"68359340ZFZYECVJ","test",0,0,0
"83119994SISMLSRO","control",0,0,0
"58448995NDCOTARU","control",0,0,0
"84112006ELLKIDBK","test",0,0,0
"10840705OUMWVGBO","control",0,0,0
"65443966UFFCGEYN","test",0,0,0
"32925665LXCXFJYF","test",0,0,0
"68567175CBGRRTBX","test",0,1,0
"76952883ZBVRXEZR","control",0,0,0
"52400767QHEQTZRF","test",0,1,0
"34965442WMTBCCBF","control",0,1,0
"25914261GWMOAPRF","test",0,0,0
"98215177WULKKMNU","control",0,0,0
"03241649AHZKPWYH","test",1,1,0
"96667825EPUJRIRO","control",0,0,0
"15852908CRZGSWMC","test",0,1,0
"36994780TUIMUGOG","test",0,0,0
"56735219WLNASIKD","control",0,0,0
"78790913BINVBIAN","control",0,0,0
"17079910NEIJQHGE","control",0,0,0
"08661294PIECLXMX","test",0,1,0
"11793738LLJVNMOO","test",0,1,0
"37817200GPMMBJSA","control",0,0,0
"87850069KOMVMYSS","control",0,0,0
"31860166FYWKCQCI","control",0,0,0
"42286744VFDAAFRA","test",0,1,0
"12304253WHMYSBJI","control",0,1,0
"27995245USCYNWOO","test",0,1,0
"82914021DOHMVCHU","test",0,1,0
"33945115STZFWARC","test",0,1,1
"96034638VGIATDMB","control",0,0,1
"39877760CFBLIUCR","test",0,1,0
"07582565CZAVPCKQ","test",0,0,0
"38320739EENLTMQW","control",0,0,0
"29250332RKSSQHSV","control",0,1,0
"70527400NBBHYGSD","test",0,0,0
"11260700GZHAOKLK","test",0,1,1
"46060410KFLTKYYG","test",0,0,0
"91491754VNZLPGPH","control",0,1,1
"40913455KJPHNCDZ","control",0,0,1
"87979247QMSVHGBD","control",0,0,0
"29290742PINPQLPL","control",0,1,0
"69093417IFPKTXVO","test",0,0,0
"44641913NYHQBJOK","control",0,1,1
"69352986HWYJOFSJ","test",0,0,0
"61807618NTHZSSGO","control",0,0,0
"58253057OKPMGXPQ","control",0,0,0
"30890089ZOHMNAOW","control",0,0,0
"58974812FHNKZLUF","test",0,1,0
"63339804ZCDFZKPA","test",0,0,0
"58275674DTTNNIMP","control",0,0,0
"33687560TAUFKVYA","test",0,0,0
"96196891KWECJWMX","test",0,1,0
"53522550ITWUAEWT","control",0,1,0
"13286306AGFEHIHW","test",0,1,1
"81665483LHPFEXLP","control",0,0,0
"85439873EHVBGNGU","control",0,1,1
"31413886MDSVBVVP","test",0,0,0
"56248429LWKDJRPW","test",0,1,0
"38330204IHOHPMCY","test",0,1,0
"05711412DYHDBJKG","control",0,1,1
"87345964HCXWXCGG","test",0,0,0
"47764454CSZNXSVD","test",0,0,0
"95332114FMUECJSW","control",0,0,0
"91367911LTDLBNWJ","control",0,0,0
"20399711TBNOYTER","test",0,1,0
"85649601QKALIKQH","control",0,0,0
"49399694RAPQPKQP","control",0,0,0
"42779980DGHHDGKN","test",0,0,1
"47726645TVXEANVQ","control",0,0,0
"16986681BJRPQAJX","test",0,1,0
"62603649XPRDQALO","control",0,1,0
"37489029TXTBMVJL","test",0,1,0
"42857305ZOLZXSZT","test",0,0,0
"82434745ZJGJYTEF","control",0,0,0
"49528024PCICVCPL","control",0,0,0
"21471920RSRXCZBL","control",0,1,0
"70800082EHHTYUYA","test",0,0,0
"95455852LTMXXODM","test",0,1,1
"43498688KKDKWSZK","control",0,1,0
"85853681OXSHKLQF","test",0,0,0
"32489835PDRMEFRE","control",0,0,0
"95680380PSXYQUNA","test",0,1,0
"81182678VUETALBO","test",0,0,0
"06099256VPWJRWFD","test",0,1,1
"44224098HLKRVWRS","control",0,0,0
"21132747WHBTARMU","control",0,0,0
"85080592TEFIPACV","test",1,1,0
"27774163YNIBXHTR","test",0,1,0
"08932600NHDIQWYB","control",0,0,0
"18273495GPRWPWAK","control",0,0,0
"49513697YVISWSPD","control",0,0,0
"73162888KLIPQBLV","control",0,0,0
"67153805MELQTWOU","control",0,1,0
"64902456ZDPUPKDN","control",0,0,0
"55132456SXGESBLL","control",0,0,0
"50707104RPRTNONP","test",0,1,1
"07260235UDKMMPIW","test",0,1,0
"99136951HPZUNLZO","test",0,1,0
"54617143WVOGUDNF","control",0,0,0
"76433980LPOHRZIV","control",0,0,0
"71033300DLLXXKPY","test",0,0,0
"31411668OZHNREIE","control",0,1,0
"94027942UWNSDNUB","test",0,1,0
"44958535IYMTFYJI","control",0,1,0
"51474754NRFMTRQK","control",0,0,0
"73665774HMDEVHQQ","test",0,0,0
"41108473VHLUJCXQ","control",0,0,0
"52275579QMOJBBEY","control",0,1,0
"04203839VUKLAQOS","control",0,0,0
"40329210RMBGCEIE","control",0,1,0
"17624072NQECDZHA","test",0,0,0
"64861741VMCMGOGO","control",0,0,0
"99264437UDIXWXIX","test",0,0,0
"74077477EAUMVYNR","control",0,1,0
"30011171MQEGYQSI","control",0,1,0
"32470737XORZHUCE","control",0,1,0
"45996122KDJQALSZ","test",0,0,0
"20852350KSIGGAKG","test",0,0,0
"03692580SPNYDEWG","control",0,0,0
"94031884JOOKIHTC","control",0,0,0
"86506709TBYMGXTQ","control",0,0,0
"18309717JOQUOWHD","control",0,0,0
"07288316TFGYXRKQ","control",0,1,0
"97914422AUVDUMDA","test",0,0,0
"06718242GJKGAZIQ","control",0,0,0
"60518265UEUPODHX","control",0,0,0
"77551324NXLJJKBB","test",0,1,0
"33959188AECGOCMG","control",0,0,0
"16936119VSNYRJPU","control",0,0,0
"46534948RPXHUKVN","control",0,1,1
"43878564KSGZSOTZ","control",0,0,0
"14037631WFZNLBTP","test",0,1,0
"35404407PESHOIQA","control",0,0,0
"06360765MOGWMCTS","test",0,1,0
"25122225XLFEHJLM","control",0,1,0
"95353915HATUHNNK","test",0,1,0
"36878275PZVQABCZ","test",0,0,1
"49032761BPTOKFCG","control",0,1,0
"95364843SXTRCUKO","test",0,1,1
"10910833WJQTGTDC","test",0,0,0
"48360847GDASCQHD","control",0,0,0
"64973470DHSISTGE","test",0,0,0
"80130128GORKSYCJ","test",0,0,0
"34320817MVPJETWC","test",0,0,0
"07690150BULYGOLS","test",0,0,0
"71267748OFVXXIJO","test",0,1,0
"92101850NZESMOIA","test",0,0,0
"62485221UIVDLWUB","control",0,1,0
"31910952RQJAFAEC","test",0,0,0
"06154145VMCYLXUM","test",0,0,0
"32378958XREDDIGZ","test",0,1,0
"38136637NLTHMLKE","control",0,0,0
"34556842BWQHEASA","test",0,0,0
"42709462FYUXWHKN","test",0,1,0
"70438443CDRCQYMZ","test",0,0,1
"74915549NUNPWJYF","control",0,0,0
"57329005AHZILIFG","control",0,1,0
"41695096DONVBPLI","control",0,0,0
"73776319DSKZRLIQ","test",0,1,0
"97562652QPFALUHW","test",0,0,0
"54381611DAVOGUDQ","control",0,0,0
"85461042UZLXGUOY","test",0,0,0
"38168032GMEEKCQQ","test",0,0,0
"60763863JEUEDAJZ","test",0,0,0
"42988027ZXCKXUAU","test",0,1,0
"27903814KHJBRONW","control",0,1,0
"91597994DAIEUWFK","control",0,0,0
"97052326CEEANCXS","test",0,1,0
"88156644HZXOHNVB","control",0,0,0
"25884457BZPNPQID","test",0,1,0
"21458016MSHUEDNL","control",0,0,0
"57987355QSCPDBOB","test",0,1,1
"52002771KJFADSVQ","test",0,0,0
"95930883IBKLLZKQ","control",0,0,0
"71451519EGCJTXDJ","test",0,0,0
"54328675RBUQQPHN","control",0,1,0
"71852683SBEPUPCV","control",0,0,0
"46577376DTRTXPUT","test",0,0,1
"84390644YKTKXNXO","control",0,1,1
"07130048MFHCDPYS","test",0,0,0
"17440264SAGBYZSR","control",0,0,0
"73526291DRIUCJZH","control",0,0,0
"83559451LHCUAFYT","test",1,0,0
"18086538MZFGFFTH","test",1,1,0
"67263455BSQENKJP","control",0,0,0
"45765101ZFNNNPJU","control",0,1,0
"56847278FFISURHJ","test",0,0,0
"14330064YUGZUEEZ","control",0,0,0
"38297698NQJIEDHS","test",1,0,0
"92698476DJPPYUNF","test",0,0,1
"59285606DROXIGGM","test",0,0,0
"23915292XZKICOXA","test",0,0,0
"63929822SIBPACCI","test",0,0,0
"96120516DLLITONT","control",0,0,0
"12899781NXZCRJAF","test",0,1,0
"80827706WHBDSDOV","control",0,0,0
"73932335SVIHIFHI","control",0,0,0
"36854393GIZMEDRD","test",1,1,1
"09205528GMKRJUXM","control",0,0,0
"70629670ZTWHNBAI","control",0,1,0
"07859326RUQGTKEE","test",0,1,0
"39140961CNQALVDJ","test",0,1,0
"67697231NKTKDYUH","test",0,1,1
"95348294QRKDOIHF","control",0,1,0
"05334034DMHRGBJP","test",1,1,0
"44395993LNANGHPR","control",0,1,0
"47939047BMYCVSXG","test",0,0,0
"33161752HYDENQKM","test",0,1,0
"41044328AYGDJPBB","control",0,0,0
"11175821TBBSKVRJ","control",0,0,0
"76783404ULTRAKJX","control",0,0,0
"26411267WLFAXDQY","control",0,0,0
"72535168IUDJYABX","test",1,0,0
"66920459SKBDLSWS","test",0,0,0
"41303547VBSTKYWD","test",0,1,0
"39573156XPXIVAUF","test",0,0,0
"98987746CSFZNFJM","test",0,0,0
"52402248CKLFBJVO","test",0,1,0
"86698274GKNWPRPI","control",0,1,1
"39136683LIZHMAOJ","control",0,0,0
"56830853FYNDXDLY","test",0,0,0
"97651832YIDOKIYU","control",0,1,0
"61742879WAQYXNTI","control",0,0,0
"18865788NQVPXSYY","test",0,1,0
"13385712CQQKVCVG","test",0,1,0
"18180904HIEEDXCY","control",0,1,1
"32597460SCPZKXYI","test",1,0,0
"35946450AVEHMJGD","control",0,0,0
"13325639NHLALYBU","test",0,0,0
"14579944CSGACKPQ","control",0,0,0
"81818586IXLVZWYZ","test",0,0,0
"32129416NEIGYBDK","control",0,1,0
"67176342OAUWWCTD","control",0,0,0
"69883309NANDEDMB","control",0,0,0
"73968156TOQFCBJI","control",0,1,0
"81144883WQVCMZQW","test",0,1,1
"18562663NPYGKTCB","test",0,0,0
"96648969PKYEIMEV","test",0,1,0
"33686702QFWUIDMM","control",0,0,0
"46447545YYJWUWQP","test",0,0,0
"71115017KEZGWOWA","control",0,0,0
"68337778OYBSBHAD","test",0,0,0
"94439177ZKKUKHJU","test",0,1,0
"26414872WEXBBBUY","test",0,1,0
"22867023WHEWFDFA","control",0,1,0
"31168580CGUQKFEK","test",0,1,0
"82747267RPCJLKFB","control",0,0,0
"81045571QUPJZQWO","test",0,1,0
"30978917BFLGFACS","control",0,1,0
"08962996JBRWQGUQ","control",0,1,0
"52984856TCSEOMMR","control",0,0,0
"38744581JHESDNLT","test",0,1,1
"34664528HHFTNNIP","test",0,1,0
"15697621TJXXUBEO","control",0,0,0
"60640503XMBAYMMD","test",0,1,1
"24634736SUAQSEBT","control",0,0,1
"39976421DDHSDOJN","test",0,0,0
"67613359AODKKERZ","control",0,0,0
"30887719SUQFGWUE","control",0,1,0
"42333617YKJWXPNP","control",0,0,0
"67321519TXHGVLCH","control",0,1,1
"21767220VXMDWTTD","test",0,0,0
"06128867CLETARSW","test",0,1,0
"56895604BZVXIOOY","test",1,0,0
"13592043WFEDNQHH","control",0,0,0
"99131886JEWYGEJQ","control",1,1,0
"39538292JFXECCDS","control",0,0,0
"16417705LESIZZYS","control",0,1,0
"49897386TOOVUVUI","test",0,0,0
"77002376SJXVKHIR","control",0,0,0
"52795237KVLZHHKY","control",0,0,0
"42006263VISXXNVD","test",0,1,0
"14688091DDLTVFMS","control",0,1,0
"13964839YUBQEIQR","test",0,1,0
"42460451LUYVVNLJ","test",0,0,0
"42986124RLGUZOYZ","test",0,0,0
"46638308HFCWSEAV","control",0,1,0
"54842096GDXMGMZJ","test",0,1,0
"60625223SKTGKOAD","test",0,0,0
"07861938PFTITXNL","control",0,0,0
"42863694OLLEVPVN","test",0,0,0
"85909860FYBKCREK","control",0,1,0
"39652385ABJOPIWK","control",0,0,0
"02912930ZKPHNCFE","control",0,1,0
"12683030CCOIMRII","test",0,1,0
"82656947ZNDTYAJQ","test",0,0,0
"49743028QJBMFFQT","test",0,0,0
